epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,87933.9,1.79846,2.05612,0.01361,0.57113,0.51154,0.53098,0.28361,1.70361,1.95018,0.01483,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,91445.3,1.78513,2.03072,0.0135,0.57255,0.51663,0.53585,0.28595,1.70352,1.94179,0.01482,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,95385.2,1.7843,2.02837,0.01345,0.57832,0.5164,0.53771,0.28687,1.70433,1.9333,0.01483,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,98084.8,1.77254,2.00743,0.01349,0.57943,0.51733,0.53878,0.28794,1.70391,1.92743,0.01483,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,100838,1.76218,1.97743,0.01337,0.58552,0.51705,0.54023,0.28878,1.70048,1.92377,0.01476,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,103537,1.76286,1.95145,0.01321,0.58809,0.51709,0.54306,0.29025,1.70316,1.91669,0.01479,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,106273,1.75812,1.9587,0.0132,0.58807,0.51939,0.54411,0.2907,1.70011,1.91648,0.01474,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,109030,1.7466,1.94562,0.01314,0.59311,0.51755,0.54596,0.29225,1.69878,1.91515,0.01473,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,111736,1.73507,1.93782,0.01289,0.59948,0.51344,0.54683,0.29306,1.69571,1.91424,0.0147,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,114380,1.71913,1.744,0.01525,0.6024,0.51441,0.54769,0.29361,1.6954,1.91201,0.01468,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,116995,1.71437,1.7168,0.01517,0.60049,0.51783,0.54874,0.29464,1.69539,1.90751,0.01469,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,119600,1.70196,1.68243,0.01505,0.59586,0.52218,0.55047,0.29592,1.69269,1.90568,0.01464,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,122844,1.69072,1.65262,0.01486,0.59832,0.52533,0.55153,0.29678,1.69229,1.90189,0.01463,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,125535,1.67388,1.62483,0.01453,0.60286,0.52341,0.5535,0.29829,1.69391,1.89326,0.01469,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,128147,1.65803,1.60048,0.01437,0.60172,0.52708,0.55504,0.29899,1.6927,1.89044,0.01468,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,130754,1.64883,1.58103,0.01427,0.60411,0.5268,0.55617,0.29956,1.69309,1.88829,0.01468,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,133361,1.64783,1.55512,0.01426,0.60437,0.52976,0.55715,0.30005,1.69661,1.88245,0.01471,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,135971,1.63605,1.54849,0.01414,0.60519,0.53252,0.55815,0.30029,1.69648,1.88059,0.0147,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,138583,1.62508,1.53645,0.01409,0.60602,0.53081,0.55916,0.3007,1.69997,1.87345,0.01474,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
